Date,Strategy_Value,Benchmark_Value
2025-06-09 00:00:00-04:00,207975.0879659279,201729.92607124965
2025-06-16 00:00:00-04:00,212996.33179496176,207492.63057503596
2025-06-23 00:00:00-04:00,227572.86616992758,219924.53472839983
2025-06-30 00:00:00-04:00,216742.27252367273,207774.59816878795
2025-07-07 00:00:00-04:00,220065.45268157867,210204.83075998808
2025-07-14 00:00:00-04:00,225069.9039079581,216636.07072277012
2025-07-21 00:00:00-04:00,223124.41544044623,212034.4805092015
2025-07-28 00:00:00-04:00,222779.5005685516,212085.3648657622
2025-08-04 00:00:00-04:00,228053.1055213091,219897.15619653906
2025-08-11 00:00:00-04:00,227142.6669702245,214144.03011158545
2025-08-18 00:00:00-04:00,225396.51139879297,212620.5805543962
2025-08-25 00:00:00-04:00,224384.22756612537,212061.96220005688
2025-09-01 00:00:00-04:00,230569.91756415655,219169.4718364273
2025-09-08 00:00:00-04:00,234581.15385442838,225319.54145215728
2025-09-15 00:00:00-04:00,229921.32621600662,216025.71224321253
2025-09-22 00:00:00-04:00,235544.38288581325,223146.5187680162
2025-09-29 00:00:00-04:00,235826.01273556068,221134.45162059314
2025-10-06 00:00:00-04:00,232039.9076964957,219345.29821785685
2025-10-13 00:00:00-04:00,232869.5082461537,220152.01068064483
2025-10-20 00:00:00-04:00,223746.73685893553,211112.0094215369
2025-10-27 00:00:00-04:00,224502.35954566748,209663.14751304712
2025-11-03 00:00:00-05:00,231191.4271463565,213567.72380636356
2025-11-10 00:00:00-05:00,230632.73645897213,212625.00373397896
2025-11-17 00:00:00-05:00,249055.0799564772,224745.60405268776
2025-11-24 00:00:00-05:00,247616.9046618694,226234.20274042658
2025-12-01 00:00:00-05:00,241289.3335617826,220108.45983055202
2025-12-08 00:00:00-05:00,243407.01934670526,223800.92304169282
2025-12-15 00:00:00-05:00,240002.64506619956,223829.39720922062
2025-12-22 00:00:00-05:00,230931.40853276086,214265.52000188318
2025-12-29 00:00:00-05:00,236395.53749329157,219727.86173597994
2026-01-05 00:00:00-05:00,237976.7834693246,223227.82968945111
2026-01-12 00:00:00-05:00,234549.81024038288,221228.87877439262
2026-01-19 00:00:00-05:00,243591.60983164783,229445.66188491668
2026-01-26 00:00:00-05:00,247694.8503637734,231405.86616674007
2026-02-02 00:00:00-05:00,269814.7024495663,245383.9925549625
2026-02-09 00:00:00-05:00,277257.58592305705,253050.06082446495
2026-02-16 00:00:00-05:00,274361.82090515236,256944.33743284552
2026-02-23 00:00:00-05:00,275217.92794058425,259719.80233493826
2026-03-02 00:00:00-05:00,290825.3702601754,271375.3387383
2026-03-09 00:00:00-04:00,295088.98368943174,278411.8029356236
2026-03-16 00:00:00-04:00,306268.30883553287,281205.8896014217
2026-03-23 00:00:00-04:00,332610.82799830165,302016.588266958
2026-03-30 00:00:00-04:00,337464.81605237257,312442.0389808262
2026-04-06 00:00:00-04:00,351363.5677781588,320453.85908726614
2026-04-13 00:00:00-04:00,352870.0063179152,318632.0495052911
2026-04-20 00:00:00-04:00,349627.8587049936,301063.79486930394
2026-04-27 00:00:00-04:00,346026.1890447541,299345.42142743414
2026-05-04 00:00:00-04:00,348979.6203045445,307020.6343493304
2026-05-11 00:00:00-04:00,355471.967131145,314829.18925337534
2026-05-18 00:00:00-04:00,339071.4581462998,302419.48595678655
2026-05-25 00:00:00-04:00,347151.19742313004,318107.1933395246
2026-06-01 00:00:00-04:00,329423.30132367444,300143.2619935309
2026-06-08 00:00:00-04:00,328743.17979333375,302648.38961751066
2026-06-15 00:00:00-04:00,321270.8518397644,295259.11255066504
2026-06-22 00:00:00-04:00,308294.9659883973,283098.02744392253
2026-06-29 00:00:00-04:00,299485.1535610727,277146.85723620927
2026-07-06 00:00:00-04:00,286039.4897062031,264159.88476769306
